consistency_score_max,consistency_score_mean,consistency_score_min,file_name,interaction_index,label,num_output_items,num_output_scores,phase,phase_turn,raw_label,raw_labels,role,source_file,source_files,turn,user_demand
1.0,0.7314935144940815,0.09534947346856165,ChatDev_ProgramDev2_GPT4o_0_scored.json,0,c0,5,5,Reflection,0,0.0,0.0,Chief Executive Officer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,1,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.9999998977796811,0.7498270106975742,1.9555681087850496e-08,ChatDev_ProgramDev2_GPT4o_0_scored.json,0,c0,4,4,DemandAnalysis,0,0.0,0.0,Chief Product Officer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,1,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.9980733040751515,0.24958375679331843,2.8453348089834e-08,ChatDev_ProgramDev2_GPT4o_0_scored.json,1,c0,4,4,DemandAnalysis,0,0.0,0.0,Chief Product Officer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,2,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.9999998490368993,0.9999998490368993,0.9999998490368993,ChatDev_ProgramDev2_GPT4o_0_scored.json,2,c0,1,1,DemandAnalysis,0,0.0,0.0,Chief Product Officer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,3,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.9999998769789961,0.4169412658414014,0.0,ChatDev_ProgramDev2_GPT4o_0_scored.json,3,c0,12,12,Manual,0,0.0,0.0,Chief Product Officer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,4,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.9525740531094781,0.9525740531094781,0.9525740531094781,ChatDev_ProgramDev2_GPT4o_0_scored.json,0,c0,1,1,LanguageChoose,0,0.0,0.0,Chief Technology Officer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,1,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
1.0,0.8271120645516286,7.194133030325383e-09,ChatDev_ProgramDev2_GPT4o_0_scored.json,0,c0,6,6,CodeReviewComment,0,0.0,0.0,Code Reviewer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,1,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.07585818743517903,0.07585818743517903,0.07585818743517903,ChatDev_ProgramDev2_GPT4o_0_scored.json,1,c0,1,1,CodeReviewComment,0,0.0,0.0,Code Reviewer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,2,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.004070137939983506,0.004070137939983506,0.004070137939983506,ChatDev_ProgramDev2_GPT4o_0_scored.json,2,c0,1,1,CodeReviewComment,0,0.0,0.0,Code Reviewer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,3,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
0.9999998611504499,0.7463742096996521,1.4449802461092448e-07,ChatDev_ProgramDev2_GPT4o_0_scored.json,1,c0,12,12,CodeReviewModification,0,0.0,0.0,Programmer,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,0.0\ChatDev_ProgramDev2_GPT4o_0_scored.json,2,Create a CLI tool that takes a text file path as input and outputs the total word count. The tool should handle basic punctuation and count sequences of alphanumeric characters as words. Output the count to the console.
